ID,Fecha,Numero de Proceso,Accion/Infraccion,Detalle
1,24/06/2024,09359202401015,IMPUGNACIÓN DEL ACTA DE FINIQUITO,folder_open
2,07/06/2024,23331202402373,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
3,13/05/2024,23331202401976,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
4,13/05/2024,23331202401975,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
5,13/05/2024,18282202402531G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586,folder_open
6,15/04/2024,09332202405165,PRESCRIPCIÓN EXTINTIVA,folder_open
7,12/04/2024,09359202400580,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
8,05/03/2024,18334202401374,DAÑO MORAL,folder_open
9,05/03/2024,09332202403102,PRESCRIPCIÓN EXTINTIVA,folder_open
10,15/02/2024,23281202400552G,APLICACIÓN DEL PRINCIPIO DE OPORTUNIDAD,folder_open
11,09/02/2024,17204202400519,ACCIÓN DE PROTECCIÓN,folder_open
12,30/01/2024,09286202400890,MEDIDA CAUTELAR,folder_open
13,16/01/2024,17230202400621,ACCIÓN DE HÁBEAS DATA,folder_open
14,18/10/2023,17230202321084,TERMINACIÓN DE CONTRATO,folder_open
15,15/09/2023,17230202318812,DAÑO MORAL,folder_open
16,12/09/2023,18202202302594,ACCIÓN DE HÁBEAS DATA,folder_open
17,16/08/2023,09332202313878,DAÑO MORAL,folder_open
18,14/08/2023,21282202300994,ACCIÓN DE PROTECCIÓN,folder_open
19,26/06/2023,11333202302222,DAÑOS Y PERJUICIOS,folder_open
20,19/05/2023,11282202301593,DAÑOS Y PERJUICIOS,folder_open
21,16/05/2023,09359202300756,PAGO DE HABERES LABORALES,folder_open
22,30/01/2023,17371202300197,PAGO DE HABERES LABORALES,folder_open
23,21/12/2022,17371202203039,PAGO DE HABERES LABORALES,folder_open
24,22/11/2022,17100202200033,NULIDAD DE LAUDO ARBITRAL ART. 31 LAM,folder_open
25,07/10/2022,09286202203661,SUSPENSIÓN INJUSTIFICADA DEL SERVICIO,folder_open
26,07/10/2022,09359202202086,PAGO DE HABERES LABORALES,folder_open
27,08/09/2022,11282202203644,FACTURACIÓN DE CONSUMO EXCESIVO,folder_open
28,08/04/2022,08282202203617,DAÑOS Y PERJUICIOS,folder_open
29,14/09/2021,17230202115775,SOLICITUD JUDICIAL EXCEPCIONAL DE CONCURSO PREVENTIVO,folder_open
30,09/09/2021,09332202111666,"COBRO DE FACTURAS POR BIENES Y SERVICIOS, HONORARIOS PROFESIONALES CUANDO LA PRETENSIÓN NO SEA EXIGIBLE EN PROCEDIMIENTO MONITORIO O EN VIA EJECUTIVA",folder_open
31,04/08/2021,09359202102370,PAGO DE HABERES LABORALES,folder_open
32,23/07/2021,17294202100762,DERECHOS FUNDAMENTALES DEL CONSUMIDOR,folder_open
33,15/07/2021,17230202111687,SOLICITUD JUDICIAL EXCEPCIONAL DE CONCURSO PREVENTIVO,folder_open
34,01/07/2021,09359202101980,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
35,16/06/2021,17230202109686,DAÑOS Y PERJUICIOS,folder_open
36,20/05/2021,13334202100751,DAÑOS Y PERJUICIOS,folder_open
37,28/04/2021,17371202101957,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
38,21/04/2021,09332202104565,DAÑO MORAL,folder_open
39,20/04/2021,17230202106273,TERMINACIÓN DE CONTRATO,folder_open
40,08/04/2021,09359202101107,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
41,01/04/2021,21331202100003G,EXHIBICIÓN DE DOCUMENTOS,folder_open
42,11/03/2021,17371202101225,PAGO DE HABERES LABORALES,folder_open
43,25/01/2021,17230202101272,DAÑOS Y PERJUICIOS,folder_open
44,28/12/2020,17294202001301,DERECHOS FUNDAMENTALES DEL CONSUMIDOR,folder_open
45,22/12/2020,17371202006210,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
46,11/11/2020,17230202000289G,EXHIBICIÓN DE DOCUMENTOS,folder_open
47,26/10/2020,17371202004848,IMPUGNACIÓN DEL ACTA DE FINIQUITO,folder_open
48,07/10/2020,17230202010456,DAÑO MORAL,folder_open
49,02/10/2020,09359202003638,PAGO DE HABERES LABORALES,folder_open
50,14/09/2020,09359202003263,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
51,02/09/2020,17230202008588,TERMINACIÓN DE CONTRATO,folder_open
52,24/08/2020,09359202002775,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
53,11/08/2020,09359202002485,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
54,23/07/2020,09359202002060,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
55,06/07/2020,17291202000351,DERECHOS FUNDAMENTALES DEL CONSUMIDOR,folder_open
56,28/10/2019,18571201901233,ACCIÓN DE HÁBEAS DATA,folder_open
57,11/09/2019,13334201901457,OTROS,folder_open
58,07/03/2019,07371201900063,PAGO DE HABERES LABORALES,folder_open
59,11/12/2018,18371201800303,PAGO DE HABERES LABORALES,folder_open
60,19/04/2018,09359201801076,IMPUGNACIÓN DE VISTO BUENO,folder_open
61,08/01/2018,09332201800180,DAÑO MORAL,folder_open
62,08/09/2017,09501201700513,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
63,31/07/2017,11904201700017,ACCIÓN DE HÁBEAS DATA,folder_open
64,19/05/2017,1324420170001,ACCIÓN DE PROTECCIÓN,folder_open
65,10/05/2017,09359201701253,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
66,28/04/2017,09359201701127,PAGO DE HABERES LABORALES,folder_open
67,21/04/2017,09359201701054,PAGO DE HABERES LABORALES,folder_open
68,21/04/2017,09359201701053,PAGO DE HABERES LABORALES,folder_open
69,20/04/2017,09359201701028,PAGO DE HABERES LABORALES,folder_open
70,18/04/2017,09359201701014,PAGO DE HABERES LABORALES,folder_open
71,12/04/2017,17291201700153,DERECHOS FUNDAMENTALES DEL CONSUMIDOR,folder_open
72,11/04/2017,09359201700953,PAGO DE HABERES LABORALES,folder_open
73,31/01/2017,06335201700277,REINVINDICACIÓN,folder_open
74,10/01/2017,09359201700048,PAGO DE HABERES LABORALES,folder_open
75,06/01/2017,09286201700082,"INDEMNIZACIÓN, REPARACIÓN, RESPOSICIÓN Y DEVOLUCIÓN POR GARANTÍAS DE LOS PRODUCTOS",folder_open
76,25/11/2016,09359201603883,PAGO DE HABERES LABORALES,folder_open
77,25/11/2016,09359201603881,PAGO DE HABERES LABORALES,folder_open
78,25/11/2016,09359201603877,PAGO DE HABERES LABORALES,folder_open
79,25/11/2016,09359201603875,PAGO DE HABERES LABORALES,folder_open
80,09/11/2016,09359201603703,PAGO DE HABERES LABORALES,folder_open
81,21/10/2016,09359201603550,PAGO DE HABERES LABORALES,folder_open
82,20/10/2016,09359201603539,PAGO DE HABERES LABORALES,folder_open
83,26/09/2016,13334201601197,DAÑOS Y PERJUICIOS,folder_open
84,15/09/2016,09359201603183,INDEMNIZACION POR DESPIDO INTEMPESTIVO,folder_open
85,26/08/2016,09359201602970,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
86,26/08/2016,09359201602968,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
87,17/08/2016,09501201600346,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
88,19/07/2016,09359201602614,PAGO DE HABERES LABORALES,folder_open
89,27/06/2016,09359201602413,PAGO DE HABERES LABORALES,folder_open
90,23/06/2016,09359201602399,PAGO DE HABERES LABORALES,folder_open
91,22/06/2016,09359201602386,PAGO DE HABERES LABORALES,folder_open
92,22/06/2016,09359201602385,PAGO DE HABERES LABORALES,folder_open
93,22/06/2016,09359201602384,PAGO DE HABERES LABORALES,folder_open
94,22/06/2016,09359201602383,PAGO DE HABERES LABORALES,folder_open
95,22/06/2016,09359201602379,PAGO DE HABERES LABORALES,folder_open
96,22/06/2016,09359201602376,PAGO DE HABERES LABORALES,folder_open
97,23/05/2016,09286201602083,LIQUIDACIÓN DE DAÑOS Y PERJUICIOS,folder_open
98,20/05/2016,09332201607049,DAÑO MORAL,folder_open
99,31/03/2016,09359201601343,PAGO DE HABERES LABORALES,folder_open
100,09/12/2015,07317201500512,TERMINACIÓN DE CONTRATO DE ARRENDAMIENTO,folder_open
101,05/11/2015,09332201511767,DAÑO MORAL,folder_open
102,23/06/2015,09332201506240,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
103,09/06/2014,0830120140405,DAÑOS Y PERJUICIOS,folder_open
104,27/02/2014,09332201437103,DAÑO MORAL,folder_open
105,22/01/2014,1930320140019,REINVINDICACION,folder_open
106,27/11/2012,1335220120312,INDEMNIZACIÓN POR DESPIDO INTEMPESTIVO,folder_open
107,11/01/2012,0911120120018,COBRO DE DINERO,folder_open
108,24/05/2011,0933120110433,DAÑO MORAL,folder_open
109,01/01/2004,0950420045239,RESOLUCIONES,folder_open
