ID,Fecha,Numero de Proceso,Accion/Infraccion,Detalle
1,14/09/2023,09332202315769,PAGO DE DINERO,folder_open
2,11/07/2023,09332202311766,COBRO DE PAGARÉ A LA ORDEN,folder_open
3,03/08/2022,09332202211555,FACTURA O PRIMA DE SEGUROS,folder_open
4,26/07/2022,09332202210851,TERMINACIÓN DE CONTRATO,folder_open
5,06/05/2022,09286202202415G,SOLICITUD DE OFICIO,folder_open
6,07/09/2021,09332202111494,INCUMPLIMIENTO DE CONTRATO,folder_open
7,18/06/2021,09332202107378,COBRO DE PAGARÉ A LA ORDEN,folder_open
8,16/03/2021,07333202100569,CONCURSO DE ACREEDORES,folder_open
9,05/11/2020,09332202009600,COBRO DE PAGARÉ A LA ORDEN,folder_open
10,20/08/2020,09332202006026,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
11,17/02/2020,09332202001746,CONCURSO DE ACREEDORES,folder_open
12,17/02/2020,09332202001744,CONCURSO DE ACREEDORES,folder_open
13,17/02/2020,09332202001743,CONCURSO DE ACREEDORES,folder_open
14,02/04/2019,09332201904039,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
15,02/04/2019,09332201904038,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
16,02/04/2019,09332201904036,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
17,02/04/2019,09332201904031,COBRO DE LETRA DE CAMBIO,folder_open
18,14/11/2018,09332201812430,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
19,14/11/2018,09332201812428,OTROS,folder_open
20,14/11/2018,09332201812427,OTROS,folder_open
21,14/11/2018,09332201812426,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
22,14/11/2018,09332201812425,COBRO DE DINERO,folder_open
23,14/11/2018,09332201812424,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
24,14/11/2018,09332201812423,LAS ORDENADAS POR LEY (ART. 332 # 1),folder_open
25,13/08/2018,09332201808761,COBRO DE DINERO,folder_open
26,13/08/2018,09332201808758,OTROS,folder_open
27,19/06/2018,09332201806299,OTROS,folder_open
28,15/06/2018,09332201806174,COBRO DE PAGARÉ A LA ORDEN,folder_open
29,15/06/2018,09332201806173,COBRO DE PAGARÉ A LA ORDEN,folder_open
30,15/06/2018,09332201806171,COBRO DE PAGARÉ A LA ORDEN,folder_open
31,15/06/2018,09332201806170,COBRO DE PAGARÉ A LA ORDEN,folder_open
32,11/06/2018,09332201805904,COBRO DE LETRA DE CAMBIO,folder_open
33,07/05/2018,09332201804546,COBRO DE PAGARÉ A LA ORDEN,folder_open
34,10/04/2018,09332201803660,COBRO DE PAGARÉ A LA ORDEN,folder_open
35,10/04/2018,09332201803659,OTROS,folder_open
36,10/04/2018,09332201803658,COBRO DE DINERO,folder_open
37,10/04/2018,09332201803657,COBRO DE PAGARÉ A LA ORDEN,folder_open
38,10/04/2018,09332201803640,COBRO DE PAGARÉ A LA ORDEN,folder_open
39,02/04/2018,09332201803329,COBRO DE PAGARÉ A LA ORDEN,folder_open
40,13/03/2018,09332201802525,COBRO DE LETRA DE CAMBIO,folder_open
41,08/01/2018,09332201800171,COBRO DE PAGARÉ A LA ORDEN,folder_open
42,08/01/2018,09332201800170,COBRO DE PAGARÉ A LA ORDEN,folder_open
43,08/01/2018,09332201800168,COBRO DE PAGARÉ A LA ORDEN,folder_open
44,27/12/2017,09332201711343,EMBARGO Y REMATE DE PRENDA,folder_open
45,21/12/2017,09332201711240,COBRO DE DINERO,folder_open
46,21/12/2017,09332201711238,OTROS,folder_open
47,28/11/2017,07308201700668G,DEPRECATORIO,folder_open
48,11/10/2017,09332201708446,EMBARGO Y REMATE DE BIEN CON RESERVA DE DOMINIO,folder_open
49,01/08/2017,09332201705966,EMBARGO Y REMATE DE PRENDA,folder_open
50,13/01/2017,07307201700030,COBRO DE DINERO,folder_open
51,18/03/2015,09332201502465,COBRO DE PAGARÉ A LA ORDEN,folder_open
52,18/03/2015,09332201502460,COBRO DE PAGARÉ A LA ORDEN,folder_open
53,02/07/2014,09332201461444,EJECUTIVO ART. 413 C.P.C.,folder_open
54,28/04/2014,09332201453781,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
55,10/04/2014,09332201451229,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
56,20/03/2014,09332201445878,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
57,12/03/2014,09332201443698,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
58,13/02/2014,09332201430233,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
59,03/02/2014,09332201422824,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
60,01/02/2014,09332201422390,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
61,25/01/2014,09332201417616,COBRO DE PAGARÉ A LA ORDEN,folder_open
62,20/01/2014,09332201413604,EMBARGO Y REMATE CON RESERVA DE DOMINIO LITERAL J ART. 202 C.COMERCIO,folder_open
63,15/01/2014,09332201411123,PAGARE A LA ORDEN ART. 486 CODIGO DE COMERCIO ART. 413.CPC.,folder_open
64,02/01/2014,0933220140227,COBRO DE PAGARÉ A LA ORDEN,folder_open
